,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,DIFF,DEA,MACD,MACDX,MACDXPre,kdj_k,kdj_d,kdj_j,kdX,kdXPre,ema5,ema10,ema20,ema60,ROC-1,ROC+1,ROC-2,ROC+2,ROC-3,ROC+3,ROC-5,ROC+5,mavol5,mavol10
64,000002.SZ,20190107,25.29,25.53,24.99,25.05,24.93,0.120000000000001,0.48134777376655036,427154.85,1077909.188,-0.1889482116975678,-0.1460231619988537,-0.08585009939742821,0,0,54.47007172972652,35.89362322350998,91.6229687421596,0,0,24.543734588838735,24.501184714935743,24.695573802230737,24.506316200912217,0.48134777376655036,-0.19960079840319644,4.071458246780226,1.1177644710578745,4.811715481171557,0.23952095808382723,6.868600682593853,-0.11976047904192069,319411.3720000001,369958.5809999999
63,000002.SZ,20190108,25.05,25.2,24.63,25.0,25.05,-0.05000000000000071,-0.19960079840319644,214382.02,533604.348,-0.13863383390546957,-0.14454529638017688,0.011822924949414615,1,0,61.42966022291845,44.40563555664613,95.4777095554631,0,0,24.69582305922582,24.591878403129247,24.72456677344734,24.52250671179242,-0.19960079840319644,1.3199999999999932,0.2807862013638198,0.43999999999999767,3.8637307852098033,1.2000000000000028,4.953820319059613,0.6400000000000006,297725.59000000014,330604.8599999999
62,000002.SZ,20190109,25.4,25.88,25.11,25.33,25.0,0.3299999999999983,1.3199999999999932,340140.62,867081.397,-0.07130907838632083,-0.12989805278140568,0.11717794879016968,0,0,66.7727789464265,51.86135001990626,96.59563679946696,0,0,24.907215372817216,24.726082329833023,24.782227080738934,24.548988477677508,1.3199999999999932,-0.8685353335965214,1.1177644710578745,-0.11843663639951672,1.6044925792218154,-1.2238452427950997,5.983263598326359,0.35530990919859223,316351.65800000017,315296.9799999999
61,000002.SZ,20190110,25.22,25.56,25.03,25.11,25.33,-0.21999999999999886,-0.8685353335965214,224649.2,568952.646,-0.035298981219039405,-0.11097823846893241,0.15135851449978602,0,0,67.32939361455756,57.017364551456694,87.9534517407593,0,0,24.97481024854481,24.795885542590653,24.813443549240414,24.56738671704511,-0.8685353335965214,0.7566706491437725,0.43999999999999767,-0.3584229390680998,0.23952095808382723,0.19912385503783636,4.320731200664724,-0.5575467941059361,316810.78000000014,295071.7739999999
60,000002.SZ,20190111,25.1,25.54,25.01,25.3,25.11,0.19000000000000128,0.7566706491437725,240694.9,606994.703,0.008473020562504985,-0.08708798666264493,0.19112201445029983,0,0,69.47148111257081,61.16873673849474,86.07696986072297,0,0,25.083206832363206,24.887542716665077,24.859782258837136,24.59141240607061,0.7566706491437725,-1.1067193675889373,-0.11843663639951672,-0.5533596837944686,1.2000000000000028,0.47430830039526084,1.4841556357801886,1.8181818181818215,289404.3180000001,296942.5379999999
59,000002.SZ,20190114,25.13,25.3,24.92,25.02,25.3,-0.28000000000000114,-1.1067193675889373,183281.34,459151.853,0.0203345830542645,-0.06560347271926305,0.1718761115470551,0,0,66.67631169194011,63.00459505630986,74.01974496320064,0,0,25.062137888242138,24.91162585908961,24.875041091329003,24.60546761643047,-1.1067193675889373,0.5595523581135114,-0.3584229390680998,1.5987210231814635,-1.2238452427950997,-0.1998401278976847,-0.11976047904192069,2.5179856115107877,240629.6160000001,280020.49399999983
58,000002.SZ,20190115,25.0,25.16,24.32,25.16,25.02,0.14000000000000057,0.5595523581135114,368758.85,914983.495,0.0405641880118246,-0.04436994057304551,0.16986825716974022,0,0,66.72429996052536,64.24449669104835,71.68390649947938,0,0,25.094758592161426,24.95678479380059,24.90218003501223,24.623652958194192,0.5595523581135114,1.0333863275039807,-0.5533596837944686,-0.7551669316375249,0.19912385503783636,2.384737678855332,0.6400000000000006,0.9538950715421243,271504.98200000013,284615.28599999985
57,000002.SZ,20190116,25.15,25.5,24.83,25.42,25.16,0.26000000000000156,1.0333863275039807,267466.06,676685.59,0.07669206433401143,-0.02015753959163412,0.1936992078512911,0,0,70.26283379962778,66.25060906057483,78.28728327773368,0,0,25.203172394774285,25.0410057403823,24.95149622215437,24.64976818669275,1.0333863275039807,-1.770259638080263,1.5987210231814635,1.3375295043273008,0.47430830039526084,0.9047993705743387,0.35530990919859223,-0.4327301337529622,256970.07000000012,286660.8639999999
56,000002.SZ,20190117,25.5,25.5,24.94,24.97,25.42,-0.45000000000000284,-1.770259638080263,245895.86,618876.709,0.0682259611028222,-0.002480839452742851,0.1414136011111301,0,0,60.730778088640726,64.41066540326347,53.37100345939524,-1,0,25.125448263182857,25.028095605767337,24.953258486711114,24.660269725457404,-1.770259638080263,3.1637965558670516,-0.7551669316375249,2.723267921505806,-0.1998401278976847,1.7220664797757297,-0.5575467941059361,1.7621145374449392,261219.4020000001,289015.0909999999
55,000002.SZ,20190118,25.0,25.76,24.99,25.76,24.97,0.7900000000000027,3.1637965558670516,365723.28,933464.191,0.12383541326790137,0.022782411091386005,0.20210600435303072,0,0,71.25641616165797,66.6925823227283,80.3840838395173,1,0,25.33696550878857,25.161169131991457,25.03009101178682,24.696333547447626,3.1637965558670516,-0.4270186335403842,1.3375295043273008,-1.397515527950322,2.384737678855332,-1.7468944099378991,1.8181818181818215,1.3198757763975149,286225.0780000001,287814.69799999986
